stateabb1,stateabb2,year
MAA,MLI,1997
MAA,MOR,1997
MAA,NIG,1997
MAA,NIR,1997
MAA,SEN,1997
MAA,SIE,1997
MAA,TOG,1997
MAA,TUN,1997
MEX,AAB,1997
MEX,ARG,1997
MEX,BAR,1997
MEX,BHM,1997
MEX,BLZ,1997
MEX,BOL,1997
MEX,BRA,1997
MEX,CAN,1997
MEX,CHL,1997
MEX,COL,1997
MEX,COS,1997
MEX,DMA,1997
MEX,DOM,1997
MEX,ECU,1997
MEX,GRN,1997
MEX,GUA,1997
MEX,GUY,1997
MEX,HAI,1997
MEX,HON,1997
MEX,JAM,1997
MEX,NIC,1997
MEX,PAN,1997
MEX,PAR,1997
MEX,PER,1997
MEX,SAL,1997
MEX,SKN,1997
MEX,SLU,1997
MEX,SUR,1997
MEX,SVG,1997
MEX,TRI,1997
MEX,URU,1997
MEX,USA,1997
MEX,VEN,1997
MLI,BFO,1997
MLI,CDI,1997
MLI,MAA,1997
MLI,NIR,1997
MLI,SEN,1997
MLI,TOG,1997
MOR,ALG,1997
MOR,BAH,1997
MOR,COM,1997
MOR,DJI,1997
MOR,IRQ,1997
MOR,JOR,1997
MOR,KUW,1997
MOR,LEB,1997
MOR,LIB,1997
MOR,MAA,1997
MOR,OMA,1997
MOR,QAT,1997
MOR,SAU,1997
MOR,SOM,1997
MOR,SUD,1997
MOR,SYR,1997
MOR,TUN,1997
MOR,UAE,1997
MOR,YEM,1997
NIC,AAB,1997
NIC,ARG,1997
NIC,BAR,1997
NIC,BHM,1997
NIC,BLZ,1997
NIC,BOL,1997
NIC,BRA,1997
NIC,CAN,1997
NIC,CHL,1997
NIC,COL,1997
NIC,COS,1997
NIC,DMA,1997
NIC,DOM,1997
NIC,ECU,1997
NIC,GRN,1997
